"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Matthew Golden","Packers","WR","18","2.30","0.035","0.66","0.010","4.75","0.26","50.0%","0.0","0.0","22.2%","11.1%"
"[object Object]","2026","Bhayshul Tuten","Jaguars","RB","3","2.26","0.113","1.71","0.085","-0.54","-0.18","33.3%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Chris Moore","Ravens","WR","5","2.25","0.098","1.68","0.073","0.41","0.08","40.0%","0.0","0.0","20.0%","60.0%"
"[object Object]","2026","Terrance Ferguson","Rams","TE","10","2.18","0.062","1.30","0.037","0.30","0.03","50.0%","0.0","0.0","20.0%","20.0%"
"[object Object]","2026","Kendrick Bourne","Cardinals","WR","11","2.11","0.041","0.77","0.015","4.90","0.45","63.6%","0.0","0.0","27.3%","9.1%"
"[object Object]","2026","T.J. Hockenson","Vikings","TE","9","2.10","0.055","1.13","0.030","4.26","0.47","55.6%","0.0","0.0","22.2%","0.0%"
"[object Object]","2026","Josh Oliver","Vikings","TE","5","1.95","0.162","1.63","0.136","1.58","0.32","60.0%","0.0","0.0","20.0%","0.0%"
"[object Object]","2026","D'Andre Swift","Bears","RB","6","1.90","0.070","1.31","0.049","4.64","0.77","66.7%","0.0","0.0","33.3%","0.0%"
"[object Object]","2026","Tre Tucker","Raiders","WR","11","1.85","0.037","0.70","0.014","3.79","0.34","63.6%","0.0","0.0","45.5%","27.3%"
"[object Object]","2026","Kalif Raymond","Bears","WR","14","1.78","0.034","0.67","0.013","8.80","0.63","57.1%","0.0","0.0","42.9%","0.0%"
"[object Object]","2026","Darren Waller","Panthers","TE","5","1.78","0.046","0.81","0.021","5.89","1.18","100.0%","0.0","0.0","40.0%","0.0%"
"[object Object]","2026","Michael Wilson","Cardinals","WR","14","1.76","0.027","0.03","0.001","-2.05","-0.15","50.0%","0.0","0.0","21.4%","21.4%"
"[object Object]","2026","Nico Collins","Texans","WR","10","1.76","0.049","1.05","0.029","3.00","0.30","50.0%","0.0","0.0","30.0%","10.0%"
"[object Object]","2026","Chris Brooks","Packers","RB","3","1.70","0.077","1.14","0.052","-0.14","-0.05","33.3%","0.0","0.0","33.3%","0.0%"
"[object Object]","2026","Raheim Sanders","Browns","RB","4","1.68","0.084","1.08","0.054","1.52","0.38","75.0%","0.0","0.0","25.0%","0.0%"
"[object Object]","2026","Malik Nabers","Giants","WR","13","1.61","0.031","0.38","0.007","-2.13","-0.16","46.2%","0.0","0.0","23.1%","23.1%"
"[object Object]","2026","Luther Burden III","Bears","WR","12","1.57","0.030","0.41","0.008","0.15","0.01","58.3%","0.0","0.0","16.7%","25.0%"
"[object Object]","2026","Gunnar Helm","Titans","TE","7","1.56","0.039","0.40","0.010","0.88","0.13","57.1%","0.0","0.0","14.3%","14.3%"
"[object Object]","2026","Devin Singletary","Giants","RB","5","1.55","0.065","0.98","0.041","1.42","0.28","60.0%","0.0","0.0","40.0%","40.0%"
"[object Object]","2026","Tommy Tremble","Panthers","TE","7","1.53","0.045","0.70","0.021","-0.65","-0.09","28.6%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Jalen Nailor","Raiders","WR","8","1.52","0.040","0.65","0.017","-1.43","-0.18","50.0%","0.0","0.0","37.5%","12.5%"
"[object Object]","2026","Foster Moreau","Texans","TE","4","1.52","0.080","1.14","0.060","3.02","0.75","100.0%","0.0","0.0","25.0%","0.0%"
"[object Object]","2026","Jonathon Brooks","Panthers","RB","3","1.52","0.102","1.15","0.076","0.65","0.22","33.3%","0.0","0.0","33.3%","33.3%"
"[object Object]","2026","De'Von Achane","Dolphins","RB","11","1.41","0.029","0.09","0.002","0.92","0.08","54.5%","0.0","0.0","18.2%","9.1%"
"[object Object]","2026","Nate Adkins","Broncos","TE","3","1.39","0.174","1.17","0.146","3.32","1.11","100.0%","0.0","0.0","66.7%","0.0%"
"[object Object]","2026","Jaylen Waddle","Broncos","WR","13","1.38","0.029","0.15","0.003","4.18","0.32","46.2%","0.0","0.0","38.5%","15.4%"
"[object Object]","2026","Noah Fant","Saints","TE","8","1.37","0.049","0.81","0.029","-6.71","-0.84","50.0%","0.0","0.0","25.0%","37.5%"
"[object Object]","2026","Greg Dulcich","Dolphins","TE","5","1.35","0.037","0.30","0.008","1.79","0.36","80.0%","0.0","0.0","20.0%","0.0%"
"[object Object]","2026","Samaje Perine","Bengals","RB","4","1.32","0.066","0.82","0.041","4.69","1.17","100.0%","0.0","0.0","50.0%","0.0%"
"[object Object]","2026","Xavier Legette","Panthers","WR","6","1.29","0.026","0.04","0.001","1.96","0.33","33.3%","0.0","0.0","33.3%","16.7%"
"[object Object]","2026","Keon Coleman","Bills","WR","7","1.25","0.029","0.17","0.004","5.55","0.79","85.7%","0.0","0.0","28.6%","0.0%"
"[object Object]","2026","Mack Hollins","Patriots","WR","7","1.16","0.028","0.13","0.003","2.86","0.41","85.7%","0.0","0.0","42.9%","14.3%"
"[object Object]","2026","Jeremiyah Love","Cardinals","RB","7","1.15","0.052","0.62","0.028","-0.72","-0.10","42.9%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","A.J. Brown","Patriots","WR","4","1.15","0.076","0.83","0.055","1.49","0.37","75.0%","0.0","0.0","50.0%","25.0%"
"[object Object]","2026","Emeka Egbuka","Buccaneers","WR","11","1.11","0.018","-0.56","-0.009","2.65","0.24","63.6%","0.0","0.0","18.2%","9.1%"
"[object Object]","2026","Jadarian Price","Seahawks","RB","4","1.11","0.069","0.66","0.041","-0.11","-0.03","25.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","AJ Barner","Seahawks","TE","3","1.03","0.030","0.10","0.003","1.90","0.63","66.7%","0.0","0.0","33.3%","0.0%"
"[object Object]","2026","Devaughn Vele","Saints","WR","16","0.97","0.011","-0.79","-0.009","9.05","0.57","75.0%","0.0","0.0","25.0%","6.3%"
"[object Object]","2026","Alec Pierce","Colts","WR","7","0.95","0.034","0.17","0.006","2.02","0.29","71.4%","0.0","0.0","28.6%","28.6%"
"[object Object]","2026","Darnell Mooney","Giants","WR","5","0.85","0.015","-0.52","-0.009","5.10","1.02","80.0%","0.0","0.0","60.0%","20.0%"
"[object Object]","2026","Ryan Flournoy","Cowboys","WR","11","0.83","0.016","-0.61","-0.012","-0.60","-0.05","45.5%","0.0","0.0","9.1%","9.1%"
"[object Object]","2026","Jahan Dotson","Falcons","WR","8","0.79","0.018","-0.25","-0.006","-10.35","-1.29","25.0%","0.0","0.0","12.5%","37.5%"
