"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2026","Mitchell Evans","Panthers","TE","3","-0.02","-0.001","-0.47","-0.026","0.35","0.12","66.7%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Jonah Coleman","Broncos","RB","3","-0.03","-0.006","-0.19","-0.032","0.03","0.01","33.3%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Tyler Warren","Colts","TE","12","-0.11","-0.002","-1.52","-0.028","-0.75","-0.06","33.3%","0.0","0.0","8.3%","0.0%"
"[object Object]","2026","Courtland Sutton","Broncos","WR","9","-0.15","-0.003","-1.48","-0.030","-7.03","-0.78","22.2%","0.0","0.0","0.0%","22.2%"
"[object Object]","2026","Jerry Jeudy","Browns","WR","5","-0.15","-0.003","-1.48","-0.031","-7.26","-1.45","20.0%","0.0","0.0","0.0%","40.0%"
"[object Object]","2026","Marvin Harrison Jr.","Cardinals","WR","4","-0.35","-0.006","-1.96","-0.032","0.78","0.20","25.0%","0.0","0.0","25.0%","0.0%"
"[object Object]","2026","Deebo Samuel","49ers","WR","11","-0.36","-0.010","-1.26","-0.035","5.15","0.47","54.5%","0.0","0.0","18.2%","0.0%"
"[object Object]","2026","David Montgomery","Texans","RB","5","-0.40","-0.010","-1.20","-0.029","2.48","0.50","80.0%","0.0","0.0","20.0%","0.0%"
"[object Object]","2026","Quinshon Judkins","Browns","RB","7","-0.41","-0.016","-1.15","-0.044","1.21","0.17","71.4%","0.0","0.0","14.3%","0.0%"
"[object Object]","2026","Troy Franklin","Broncos","WR","3","-0.41","-0.023","-0.90","-0.050","-2.45","-0.82","33.3%","0.0","0.0","33.3%","33.3%"
"[object Object]","2026","Erick All","Bengals","TE","3","-0.42","-0.047","-0.62","-0.069","-0.79","-0.26","33.3%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Jordan Addison","Vikings","WR","7","-0.49","-0.010","-1.63","-0.034","-2.46","-0.35","28.6%","0.0","0.0","14.3%","28.6%"
"[object Object]","2026","James Cook III","Bills","RB","7","-0.54","-0.014","-1.47","-0.039","-1.86","-0.27","28.6%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Jameson Williams","Lions","WR","13","-0.60","-0.008","-2.36","-0.031","2.70","0.21","46.2%","0.0","0.0","23.1%","7.7%"
"[object Object]","2026","Jared Wayne","Texans","WR","8","-0.60","-0.017","-1.27","-0.036","-2.84","-0.35","37.5%","0.0","0.0","12.5%","37.5%"
"[object Object]","2026","Malachi Fields","Giants","WR","10","-0.63","-0.013","-1.80","-0.037","-3.81","-0.38","40.0%","0.0","0.0","10.0%","30.0%"
"[object Object]","2026","Jaylin Noel","Texans","WR","8","-0.69","-0.013","-1.71","-0.033","1.79","0.22","37.5%","0.0","0.0","25.0%","0.0%"
"[object Object]","2026","Bryce Lance","Saints","WR","5","-0.72","-0.010","-2.09","-0.030","2.09","0.42","80.0%","0.0","0.0","20.0%","0.0%"
"[object Object]","2026","Saquon Barkley","Eagles","RB","4","-0.74","-0.062","-1.06","-0.088","0.17","0.04","25.0%","0.0","0.0","25.0%","0.0%"
"[object Object]","2026","Christian McCaffrey","49ers","RB","12","-0.78","-0.027","-1.55","-0.053","0.70","0.06","58.3%","0.0","0.0","25.0%","16.7%"
"[object Object]","2026","DJ Herman","Dolphins","FB","3","-0.85","-0.085","-1.11","-0.111","0.59","0.20","33.3%","0.0","0.0","33.3%","0.0%"
"[object Object]","2026","Olamide Zaccheaus","Falcons","WR","4","-0.88","-0.032","-1.53","-0.055","-2.12","-0.53","0.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2026","Chris Bell","Dolphins","WR","3","-0.88","-0.029","-1.70","-0.057","0.07","0.02","33.3%","0.0","0.0","33.3%","33.3%"
"[object Object]","2026","Isaiah Williams","Jets","WR","7","-0.93","-0.016","-2.15","-0.038","1.44","0.21","71.4%","0.0","0.0","14.3%","0.0%"
"[object Object]","2026","Xavier Hutchinson","Texans","WR","15","-0.94","-0.012","-2.47","-0.032","-2.40","-0.16","33.3%","0.0","0.0","6.7%","13.3%"
"[object Object]","2026","Will Shipley","Eagles","RB","3","-0.95","-0.031","-1.67","-0.054","-0.32","-0.11","66.7%","0.0","0.0","0.0%","0.0%"
