"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Jalen Nailor","Vikings","WR","53","7.14","0.019","-2.48","-0.007","7.75","0.15","50.9%","2.1","0.1","34.0%","20.8%"
"[object Object]","2025","De'Von Achane","Dolphins","RB","85","7.02","0.022","-1.13","-0.004","-7.73","-0.09","44.7%","5.8","0.2","12.9%","12.9%"
"[object Object]","2025","Mike Evans","Buccaneers","WR","61","6.80","0.032","1.94","0.009","4.29","0.07","47.5%","4.6","0.1","23.0%","13.1%"
"[object Object]","2025","Michael Pittman Jr.","Colts","WR","110","6.57","0.013","-5.90","-0.012","26.07","0.24","61.8%","0.0","0.0","20.9%","9.1%"
"[object Object]","2025","Tyrone Tracy Jr.","Giants","RB","47","6.39","0.026","0.72","0.003","-1.60","-0.03","46.8%","3.5","0.1","12.8%","12.8%"
"[object Object]","2025","Tyquan Thornton","Chiefs","WR","37","6.35","0.028","0.96","0.004","22.48","0.61","45.9%","3.8","0.1","35.1%","10.8%"
"[object Object]","2025","Josh Jacobs","Packers","RB","44","6.33","0.034","1.73","0.009","8.13","0.18","50.0%","3.8","0.1","11.4%","9.1%"
"[object Object]","2025","Mack Hollins","Patriots","WR","65","6.19","0.019","-1.70","-0.005","22.59","0.35","66.2%","2.5","0.1","23.1%","9.2%"
"[object Object]","2025","Dawson Knox","Bills","TE","49","6.12","0.022","-0.51","-0.002","12.68","0.26","61.2%","3.3","0.1","26.5%","12.2%"
"[object Object]","2025","Evan Engram","Broncos","TE","76","6.02","0.018","-1.47","-0.004","5.55","0.07","44.7%","3.0","0.1","17.1%","11.8%"
"[object Object]","2025","David Njoku","Browns","TE","48","5.95","0.022","-0.09","-0.000","-2.69","-0.06","50.0%","3.4","0.1","16.7%","8.3%"
"[object Object]","2025","Bam Knight","Cardinals","RB","31","5.93","0.049","3.49","0.029","-1.20","-0.04","58.1%","4.8","0.1","12.9%","3.2%"
"[object Object]","2025","Michael Mayer","Raiders","TE","50","5.90","0.028","0.28","0.001","-6.28","-0.13","56.0%","3.1","0.1","16.0%","16.0%"
"[object Object]","2025","Quentin Johnston","Chargers","WR","84","5.80","0.012","-4.97","-0.011","20.10","0.24","45.2%","0.9","0.0","21.4%","16.7%"
"[object Object]","2025","Theo Johnson","Giants","TE","74","5.71","0.014","-3.69","-0.009","6.25","0.08","45.9%","1.7","0.1","21.6%","16.2%"
"[object Object]","2025","Gunnar Helm","Titans","TE","55","5.61","0.024","-0.17","-0.001","6.73","0.12","52.7%","2.9","0.1","10.9%","3.6%"
"[object Object]","2025","Calvin Ridley","Titans","WR","37","5.26","0.036","1.65","0.011","-2.30","-0.06","37.8%","3.5","0.1","24.3%","21.6%"
"[object Object]","2025","Ashton Jeanty","Raiders","RB","72","4.99","0.017","-2.99","-0.010","-11.88","-0.16","47.2%","0.5","0.0","12.5%","16.7%"
"[object Object]","2025","RJ Harvey","Broncos","RB","58","4.87","0.022","-0.05","-0.000","12.46","0.21","50.0%","2.4","0.1","20.7%","6.9%"
"[object Object]","2025","Van Jefferson","Titans","WR","52","4.74","0.014","-3.50","-0.011","7.12","0.14","50.0%","0.6","0.0","19.2%","15.4%"
"[object Object]","2025","Davis Allen","Rams","TE","33","4.72","0.026","0.53","0.003","6.73","0.20","60.6%","3.0","0.1","21.2%","6.1%"
"[object Object]","2025","Brian Thomas Jr.","Jaguars","WR","91","4.56","0.010","-5.11","-0.012","11.12","0.12","49.5%","0.2","0.0","25.3%","14.3%"
"[object Object]","2025","Kendrick Bourne","49ers","WR","53","4.37","0.013","-3.65","-0.011","18.88","0.36","67.9%","0.6","0.0","28.3%","13.2%"
"[object Object]","2025","Michael Carter","Cardinals","RB","45","4.36","0.019","-0.76","-0.003","3.30","0.07","57.8%","1.7","0.1","6.7%","6.7%"
"[object Object]","2025","Cam Skattebo","Giants","RB","32","4.35","0.037","1.67","0.014","4.27","0.13","56.3%","3.0","0.1","12.5%","9.4%"
"[object Object]","2025","DJ Moore","Bears","WR","84","4.09","0.008","-7.67","-0.015","10.62","0.13","51.2%","-1.3","-0.0","28.6%","14.3%"
"[object Object]","2025","Xavier Hutchinson","Texans","WR","58","4.08","0.011","-4.63","-0.012","6.99","0.12","51.7%","0.1","0.0","24.1%","17.2%"
"[object Object]","2025","Chimere Dike","Titans","WR","74","3.54","0.009","-5.68","-0.015","1.02","0.01","43.2%","-1.4","-0.0","20.3%","21.6%"
"[object Object]","2025","Elijah Higgins","Cardinals","TE","38","3.44","0.012","-3.27","-0.012","3.39","0.09","52.6%","0.5","0.0","26.3%","10.5%"
"[object Object]","2025","Adam Thielen","2 teams","WR","35","3.33","0.015","-1.90","-0.009","2.09","0.06","51.4%","0.7","0.0","22.9%","17.1%"
"[object Object]","2025","Saquon Barkley","Eagles","RB","50","3.21","0.012","-3.41","-0.013","-2.95","-0.06","42.0%","-0.9","-0.0","10.0%","12.0%"
"[object Object]","2025","Aaron Jones Sr.","Vikings","RB","42","3.17","0.019","-1.65","-0.010","-5.97","-0.14","40.5%","0.3","0.0","9.5%","7.1%"
"[object Object]","2025","Marquise Brown","Chiefs","WR","74","3.15","0.009","-5.50","-0.015","23.13","0.31","52.7%","0.1","0.0","28.4%","16.2%"
"[object Object]","2025","Jonathan Taylor","Colts","RB","55","3.14","0.009","-5.50","-0.016","9.81","0.18","54.5%","-0.5","-0.0","16.4%","9.1%"
"[object Object]","2025","Cedric Tillman","Browns","WR","39","3.06","0.010","-3.61","-0.012","7.60","0.19","48.7%","-0.1","-0.0","20.5%","15.4%"
"[object Object]","2025","Romeo Doubs","Packers","WR","85","2.95","0.008","-6.48","-0.016","26.41","0.31","57.6%","-1.7","-0.1","25.9%","11.8%"
"[object Object]","2025","Kyren Williams","Rams","RB","51","2.85","0.010","-3.92","-0.013","5.42","0.11","51.0%","-0.6","-0.0","13.7%","13.7%"
"[object Object]","2025","Noah Fant","Bengals","TE","41","2.70","0.014","-1.93","-0.010","-9.45","-0.23","56.1%","0.7","0.0","14.6%","7.3%"
"[object Object]","2025","Greg Dortch","Cardinals","WR","33","2.63","0.013","-1.80","-0.009","0.40","0.01","42.4%","0.8","0.0","21.2%","12.1%"
"[object Object]","2025","Xavier Legette","Panthers","WR","63","2.35","0.006","-6.88","-0.018","-1.70","-0.03","42.9%","-2.2","-0.1","20.6%","14.3%"
