"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","John Metchie III","2 teams","WR","49","-2.53","-0.011","-8.46","-0.035","-3.98","-0.08","46.9%","-5.5","-0.2","18.4%","18.4%"
"[object Object]","2025","Keon Coleman","Bills","WR","59","-2.95","-0.010","-9.48","-0.033","7.30","0.12","59.3%","-5.9","-0.2","18.6%","13.6%"
"[object Object]","2025","Darnell Mooney","Falcons","WR","72","-2.99","-0.007","-13.33","-0.032","3.83","0.05","38.9%","-8.0","-0.2","25.0%","15.3%"
"[object Object]","2025","Tyler Lockett","2 teams","WR","54","-3.21","-0.009","-12.17","-0.035","-8.70","-0.16","44.4%","-7.9","-0.2","20.4%","31.5%"
"[object Object]","2025","Sterling Shepard","Buccaneers","WR","53","-3.52","-0.011","-11.01","-0.034","-0.94","-0.02","52.8%","-7.0","-0.2","24.5%","22.6%"
"[object Object]","2025","David Sills V","Falcons","WR","36","-3.72","-0.013","-11.03","-0.038","-4.00","-0.11","38.9%","-7.3","-0.2","19.4%","13.9%"
"[object Object]","2025","Marvin Mims Jr.","Broncos","WR","51","-3.96","-0.016","-9.45","-0.038","0.24","0.00","45.1%","-6.4","-0.2","13.7%","9.8%"
"[object Object]","2025","Troy Franklin","Broncos","WR","105","-4.07","-0.009","-14.26","-0.032","0.63","0.01","48.6%","-8.8","-0.3","15.2%","16.2%"
"[object Object]","2025","Olamide Zaccheaus","Bears","WR","64","-4.67","-0.015","-11.58","-0.037","0.77","0.01","48.4%","-6.0","-0.2","20.3%","10.9%"
"[object Object]","2025","Christian Kirk","Texans","WR","52","-5.31","-0.020","-11.46","-0.043","-14.59","-0.28","36.5%","-8.1","-0.2","17.3%","25.0%"
"[object Object]","2025","Quinshon Judkins","Browns","RB","34","-5.42","-0.037","-8.87","-0.061","-6.73","-0.20","35.3%","-7.3","-0.2","11.8%","11.8%"
"[object Object]","2025","Alvin Kamara","Saints","RB","39","-6.03","-0.029","-10.99","-0.053","-6.42","-0.16","33.3%","-8.6","-0.3","15.4%","15.4%"
"[object Object]","2025","Mark Andrews","Ravens","TE","70","-8.29","-0.026","-16.36","-0.052","-2.75","-0.04","52.9%","-12.2","-0.4","18.6%","17.1%"
