"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Kenny Moore II","Colts","CB","417","44","15.89","0.038","2.92","0.007","3.09","0.07","47.7%","7.2","0.2","27.3%","13.6%"
"[object Object]","2025","Drake Thomas","Seahawks","LB","399","27","15.64","0.042","3.70","0.010","-16.76","-0.62","22.2%","5.0","0.2","0.0%","18.5%"
"[object Object]","2025","Tykee Smith","Buccaneers","S","546","29","15.44","0.029","-3.33","-0.006","9.52","0.33","51.7%","-0.3","-0.0","41.4%","13.8%"
"[object Object]","2025","Josh Metellus","Vikings","S","426","32","15.30","0.037","1.39","0.003","-13.13","-0.41","31.3%","3.7","0.1","18.8%","28.1%"
"[object Object]","2025","Dax Hill","Bengals","CB","555","55","15.14","0.028","-3.05","-0.006","4.44","0.08","45.5%","2.3","0.1","21.8%","18.2%"
"[object Object]","2025","Byron Murphy Jr.","Vikings","CB","505","58","15.12","0.030","-1.87","-0.004","7.43","0.13","48.3%","2.9","0.1","20.7%","19.0%"
"[object Object]","2025","Eric Wilson","Vikings","LB","287","24","15.00","0.055","5.83","0.021","-7.06","-0.29","41.7%","6.6","0.2","8.3%","16.7%"
"[object Object]","2025","D.J. Reed","Lions","CB","343","48","14.99","0.044","3.74","0.011","8.75","0.18","43.8%","6.4","0.2","27.1%","14.6%"
"[object Object]","2025","Darious Williams","Rams","CB","274","33","14.85","0.054","6.76","0.025","-3.93","-0.12","48.5%","8.9","0.3","21.2%","24.2%"
"[object Object]","2025","Ty Okada","Seahawks","S","460","31","14.71","0.032","-0.54","-0.001","11.34","0.37","54.8%","1.8","0.1","32.3%","16.1%"
"[object Object]","2025","Henry To'o To'o","Texans","LB","441","31","14.68","0.035","0.23","0.001","5.83","0.19","41.9%","1.4","0.0","12.9%","9.7%"
"[object Object]","2025","Jack Jones","Dolphins","CB","537","40","14.62","0.027","-3.51","-0.007","7.45","0.19","55.0%","0.6","0.0","35.0%","25.0%"
"[object Object]","2025","Jeremy Chinn","Raiders","S","494","22","13.85","0.029","-1.69","-0.004","13.71","0.62","59.1%","0.8","0.0","36.4%","4.5%"
"[object Object]","2025","Mekhi Blackmon","Colts","CB","489","57","13.66","0.028","-1.84","-0.004","9.20","0.16","50.9%","1.9","0.1","24.6%","12.3%"
"[object Object]","2025","T.J. Edwards","Bears","LB","284","24","13.56","0.051","4.70","0.018","7.45","0.31","41.7%","5.4","0.2","29.2%","12.5%"
"[object Object]","2025","Azeez Al-Shaair","Texans","LB","540","30","13.49","0.027","-4.35","-0.009","-16.31","-0.54","30.0%","-2.3","-0.1","13.3%","33.3%"
"[object Object]","2025","Budda Baker","Cardinals","S","545","27","13.45","0.025","-3.78","-0.007","3.64","0.13","51.9%","-0.9","-0.0","22.2%","7.4%"
"[object Object]","2025","Alex Anzalone","Lions","LB","532","39","13.18","0.026","-3.12","-0.006","1.08","0.03","30.8%","-1.8","-0.1","20.5%","23.1%"
"[object Object]","2025","Brandin Echols","Steelers","CB","349","45","13.15","0.038","2.61","0.008","-2.23","-0.05","57.8%","5.3","0.2","24.4%","17.8%"
"[object Object]","2025","Andru Phillips","Giants","CB","455","49","13.00","0.029","-1.67","-0.004","8.47","0.17","42.9%","2.3","0.1","26.5%","14.3%"
"[object Object]","2025","Jacob Parrish","Buccaneers","CB","471","48","12.96","0.028","-3.33","-0.007","10.24","0.21","56.3%","0.2","0.0","25.0%","12.5%"
"[object Object]","2025","Quentin Lake","Rams","S","350","33","12.96","0.037","1.80","0.005","2.90","0.09","48.5%","3.7","0.1","21.2%","15.2%"
"[object Object]","2025","Zaire Franklin","Colts","LB","557","30","12.90","0.024","-3.54","-0.007","6.60","0.22","53.3%","-1.9","-0.1","16.7%","6.7%"
"[object Object]","2025","Germaine Pratt","2 teams","LB","443","30","12.82","0.030","-0.24","-0.001","-9.77","-0.33","36.7%","1.6","0.1","16.7%","20.0%"
"[object Object]","2025","Donovan Wilson","Cowboys","S","513","28","12.74","0.025","-3.99","-0.008","6.84","0.24","60.7%","-1.4","-0.0","21.4%","10.7%"
"[object Object]","2025","Trevin Wallace","Panthers","LB","301","22","12.55","0.044","2.35","0.008","1.00","0.05","36.4%","3.3","0.1","18.2%","9.1%"
"[object Object]","2025","Cedric Gray","Titans","LB","445","28","12.07","0.029","-1.97","-0.005","1.79","0.06","53.6%","-0.3","-0.0","14.3%","7.1%"
"[object Object]","2025","DaRon Bland","Cowboys","CB","422","58","11.89","0.029","-1.84","-0.004","-0.69","-0.01","50.0%","1.2","0.0","25.9%","20.7%"
"[object Object]","2025","Kool-Aid McKinstry","Saints","CB","565","81","11.84","0.021","-6.58","-0.012","1.08","0.01","48.1%","-2.3","-0.1","19.8%","16.0%"
"[object Object]","2025","Payton Wilson","Steelers","LB","408","24","11.73","0.030","-0.39","-0.001","4.84","0.20","62.5%","0.9","0.0","16.7%","8.3%"
"[object Object]","2025","Zyon McCollum","Buccaneers","CB","465","61","11.70","0.025","-4.18","-0.009","9.38","0.15","50.8%","-0.6","-0.0","23.0%","14.8%"
"[object Object]","2025","Kenneth Murray Jr.","Cowboys","LB","462","24","11.68","0.027","-2.54","-0.006","-2.78","-0.12","50.0%","-1.3","-0.0","25.0%","29.2%"
"[object Object]","2025","Chau Smith-Wade","Panthers","CB","375","29","11.45","0.031","-1.35","-0.004","7.66","0.26","65.5%","1.5","0.0","34.5%","20.7%"
"[object Object]","2025","Demetrius Knight Jr.","Bengals","LB","393","22","11.03","0.030","-0.97","-0.003","-0.48","-0.02","50.0%","-0.4","-0.0","18.2%","4.5%"
"[object Object]","2025","Jonathan Jones","Commanders","CB","251","33","10.56","0.042","2.70","0.011","2.34","0.07","48.5%","4.5","0.1","24.2%","12.1%"
"[object Object]","2025","Mike Sainristil","Commanders","CB","564","66","10.46","0.019","-7.44","-0.013","15.94","0.24","60.6%","-3.1","-0.1","25.8%","16.7%"
"[object Object]","2025","Will Johnson","Cardinals","CB","424","53","10.32","0.024","-2.86","-0.007","13.63","0.26","56.6%","0.4","0.0","26.4%","13.2%"
"[object Object]","2025","Jalen Thompson","Cardinals","S","542","41","10.31","0.019","-6.87","-0.013","8.78","0.21","48.8%","-3.9","-0.1","24.4%","19.5%"
"[object Object]","2025","Trent McDuffie","Chiefs","CB","374","42","10.27","0.028","-3.42","-0.009","1.43","0.03","42.9%","-0.7","-0.0","21.4%","21.4%"
"[object Object]","2025","Javon Bullard","Packers","S","432","28","10.24","0.024","-3.91","-0.009","1.63","0.06","60.7%","-1.5","-0.0","14.3%","10.7%"
"[object Object]","2025","Terrel Bernard","Bills","LB","288","23","10.24","0.038","0.79","0.003","7.13","0.31","56.5%","1.6","0.0","30.4%","17.4%"
"[object Object]","2025","Kaden Elliss","Falcons","LB","465","34","10.22","0.024","-3.99","-0.009","2.08","0.06","41.2%","-2.7","-0.1","8.8%","5.9%"
"[object Object]","2025","Brian Branch","Lions","S","400","29","10.16","0.026","-2.89","-0.007","3.73","0.13","37.9%","-1.0","-0.0","24.1%","17.2%"
"[object Object]","2025","Nick Emmanwori","Seahawks","S","423","39","10.07","0.025","-3.42","-0.008","8.84","0.23","43.6%","-1.5","-0.0","28.2%","15.4%"
"[object Object]","2025","Emmanuel Forbes","Rams","CB","486","69","9.90","0.020","-6.16","-0.013","9.42","0.14","47.8%","-2.6","-0.1","29.0%","23.2%"
"[object Object]","2025","Dane Belton","Giants","S","409","28","9.78","0.024","-3.52","-0.009","4.67","0.17","46.4%","-0.3","-0.0","25.0%","14.3%"
"[object Object]","2025","Brandon Stephens","Jets","CB","541","55","9.70","0.018","-7.68","-0.014","17.35","0.32","52.7%","-3.4","-0.1","29.1%","14.5%"
"[object Object]","2025","Nohl Williams","Chiefs","CB","256","32","9.17","0.036","0.30","0.001","-2.85","-0.09","40.6%","2.2","0.1","15.6%","21.9%"
"[object Object]","2025","Tremaine Edmunds","Bears","LB","396","40","8.34","0.022","-4.16","-0.011","4.10","0.10","62.5%","-3.1","-0.1","12.5%","12.5%"
"[object Object]","2025","Geno Stone","Bengals","S","544","24","8.15","0.015","-9.57","-0.018","14.65","0.61","58.3%","-6.4","-0.2","37.5%","4.2%"
"[object Object]","2025","Jamien Sherwood","Jets","LB","502","29","8.12","0.017","-6.98","-0.015","12.99","0.45","55.2%","-5.4","-0.2","31.0%","0.0%"
"[object Object]","2025","Terrion Arnold","Lions","CB","191","38","7.46","0.039","0.71","0.004","7.93","0.21","44.7%","4.1","0.1","23.7%","10.5%"
"[object Object]","2025","Darien Porter","Raiders","CB","295","28","7.40","0.025","-2.08","-0.007","7.69","0.27","53.6%","0.2","0.0","35.7%","17.9%"
"[object Object]","2025","Jordan Battle","Bengals","S","564","25","7.38","0.013","-10.93","-0.020","7.94","0.32","56.0%","-8.2","-0.3","36.0%","8.0%"
"[object Object]","2025","Charvarius Ward","Colts","CB","268","34","7.31","0.027","-0.93","-0.004","-0.40","-0.01","38.2%","1.1","0.0","23.5%","20.6%"
"[object Object]","2025","Marshon Lattimore","Commanders","CB","288","33","7.25","0.025","-2.29","-0.008","7.54","0.23","51.5%","-0.1","-0.0","21.2%","15.2%"
"[object Object]","2025","Bobby Wagner","Commanders","LB","544","32","7.18","0.014","-9.28","-0.018","3.66","0.11","50.0%","-7.7","-0.2","21.9%","12.5%"
"[object Object]","2025","Tyrel Dodson","Dolphins","LB","435","31","7.13","0.018","-6.54","-0.016","1.65","0.05","48.4%","-5.3","-0.2","12.9%","6.5%"
"[object Object]","2025","Cam Lewis","Bills","S","234","23","7.13","0.031","-1.47","-0.006","2.00","0.09","39.1%","-0.2","-0.0","30.4%","26.1%"
"[object Object]","2025","Denzel Burke","Cardinals","CB","380","47","6.85","0.018","-4.93","-0.013","-0.42","-0.01","48.9%","-2.0","-0.1","23.4%","17.0%"
"[object Object]","2025","Quay Walker","Packers","LB","436","36","6.83","0.016","-6.68","-0.016","9.93","0.28","52.8%","-5.4","-0.2","19.4%","2.8%"
"[object Object]","2025","Garrett Williams","Cardinals","CB","301","30","6.82","0.023","-2.64","-0.009","4.95","0.16","46.7%","-0.4","-0.0","26.7%","13.3%"
"[object Object]","2025","Kaiir Elam","2 teams","CB","312","42","6.48","0.021","-3.55","-0.011","15.68","0.37","47.6%","-1.2","-0.0","23.8%","9.5%"
"[object Object]","2025","Alex Singleton","Broncos","LB","552","31","6.45","0.012","-10.84","-0.021","16.41","0.53","54.8%","-9.2","-0.3","25.8%","6.5%"
"[object Object]","2025","Adoree' Jackson","Eagles","CB","359","68","6.34","0.018","-5.42","-0.015","9.85","0.14","54.4%","-2.7","-0.1","25.0%","19.1%"
"[object Object]","2025","Minkah Fitzpatrick","Dolphins","S","429","25","6.20","0.015","-8.28","-0.019","8.53","0.34","56.0%","-5.9","-0.2","28.0%","16.0%"
"[object Object]","2025","Azareye'h Thomas","Jets","CB","150","23","6.09","0.041","1.23","0.008","-1.48","-0.06","34.8%","2.2","0.1","13.0%","21.7%"
"[object Object]","2025","Jaylen McCollough","Rams","S","330","23","6.04","0.019","-4.52","-0.014","0.28","0.01","34.8%","-2.8","-0.1","17.4%","4.3%"
"[object Object]","2025","Reddy Steward","Cowboys","CB","294","28","5.67","0.020","-3.97","-0.014","2.88","0.10","53.6%","-1.8","-0.1","17.9%","7.1%"
