"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Cody Barton","Titans","LB","543","30","26.37","0.053","8.98","0.018","-14.75","-0.49","33.3%","10.3","0.3","13.3%","23.3%"
"[object Object]","2025","Kam Curl","Rams","S","636","35","26.35","0.042","5.79","0.009","5.68","0.16","48.6%","9.3","0.3","25.7%","5.7%"
"[object Object]","2025","Jack Campbell","Lions","LB","566","30","26.23","0.049","8.73","0.016","-6.09","-0.20","23.3%","10.0","0.3","13.3%","13.3%"
"[object Object]","2025","Rasul Douglas","Dolphins","CB","465","63","26.11","0.056","10.13","0.022","-11.06","-0.18","36.5%","13.7","0.4","14.3%","22.2%"
"[object Object]","2025","Jalen Pitre","Texans","S","417","35","26.11","0.064","11.28","0.027","-10.92","-0.31","42.9%","13.5","0.4","17.1%","28.6%"
"[object Object]","2025","Zack Baun","Eagles","LB","528","31","25.99","0.053","9.99","0.020","-15.82","-0.51","38.7%","11.5","0.4","3.2%","16.1%"
"[object Object]","2025","Jourdan Lewis","Jaguars","CB","377","33","25.76","0.070","13.38","0.036","-8.65","-0.26","36.4%","16.4","0.5","15.2%","18.2%"
"[object Object]","2025","Carlton Davis III","Patriots","CB","531","53","25.30","0.048","6.28","0.012","0.54","0.01","39.6%","10.7","0.3","28.3%","15.1%"
"[object Object]","2025","Dee Alford","Falcons","CB","348","55","25.22","0.073","13.50","0.039","4.65","0.08","54.5%","16.2","0.5","20.0%","23.6%"
"[object Object]","2025","Riq Woolen","Seahawks","CB","530","55","25.20","0.048","7.77","0.015","-5.30","-0.10","40.0%","11.7","0.4","14.5%","14.5%"
"[object Object]","2025","Cobie Durant","Rams","CB","476","58","25.12","0.053","9.57","0.020","-13.85","-0.24","43.1%","13.2","0.4","22.4%","20.7%"
"[object Object]","2025","Foyesade Oluokun","Jaguars","LB","554","33","24.92","0.048","7.32","0.014","-10.93","-0.33","48.5%","9.1","0.3","6.1%","18.2%"
"[object Object]","2025","Christian Gonzalez","Patriots","CB","447","61","24.81","0.056","8.93","0.020","-18.03","-0.30","31.1%","12.3","0.4","13.1%","23.0%"
"[object Object]","2025","Jaycee Horn","Panthers","CB","513","46","23.74","0.046","6.20","0.012","-4.79","-0.10","39.1%","10.1","0.3","21.7%","15.2%"
"[object Object]","2025","Josh Jobe","Seahawks","CB","520","68","23.71","0.046","6.87","0.013","-9.79","-0.14","39.7%","11.5","0.4","19.1%","19.1%"
"[object Object]","2025","Calen Bullock","Texans","S","597","32","23.68","0.040","2.57","0.004","-11.25","-0.35","34.4%","5.8","0.2","21.9%","31.3%"
"[object Object]","2025","Edgerrin Cooper","Packers","LB","524","35","22.14","0.044","5.65","0.011","-12.85","-0.37","40.0%","7.2","0.2","5.7%","17.1%"
"[object Object]","2025","Marcus Jones","Patriots","CB","443","41","22.13","0.051","6.40","0.015","2.81","0.07","51.2%","9.7","0.3","26.8%","19.5%"
"[object Object]","2025","Montaric Brown","Jaguars","CB","463","54","22.10","0.048","6.59","0.014","-8.04","-0.15","38.9%","9.9","0.3","13.0%","11.1%"
"[object Object]","2025","James Pierre","Steelers","CB","218","24","22.02","0.101","15.40","0.071","-6.28","-0.26","25.0%","17.7","0.5","16.7%","16.7%"
"[object Object]","2025","Grant Delpit","Browns","S","503","31","21.71","0.044","4.93","0.010","6.41","0.21","45.2%","7.7","0.2","25.8%","29.0%"
"[object Object]","2025","Bobby Okereke","Giants","LB","573","40","21.67","0.040","4.00","0.007","-8.11","-0.20","45.0%","5.6","0.2","17.5%","15.0%"
"[object Object]","2025","Kamari Lassiter","Texans","CB","566","74","21.56","0.038","1.46","0.003","-5.18","-0.07","41.9%","5.7","0.2","23.0%","25.7%"
"[object Object]","2025","Alontae Taylor","Saints","CB","514","50","21.44","0.042","4.80","0.009","-0.56","-0.01","46.0%","8.7","0.3","24.0%","18.0%"
"[object Object]","2025","Nate Wiggins","Ravens","CB","652","88","21.42","0.033","0.57","0.001","16.39","0.19","48.9%","5.8","0.2","21.6%","11.4%"
"[object Object]","2025","Cor'Dale Flott","Giants","CB","455","60","21.24","0.047","6.66","0.015","-12.05","-0.20","43.3%","10.2","0.3","16.7%","20.0%"
"[object Object]","2025","Donte Jackson","Chargers","CB","373","40","21.17","0.057","7.57","0.020","-13.37","-0.33","32.5%","10.4","0.3","20.0%","30.0%"
"[object Object]","2025","Denzel Ward","Browns","CB","420","49","21.16","0.050","6.96","0.017","-9.03","-0.18","40.8%","10.2","0.3","12.2%","22.4%"
"[object Object]","2025","Kamren Kinchens","Rams","S","540","29","20.97","0.039","3.28","0.006","16.15","0.56","65.5%","6.3","0.2","41.4%","10.3%"
"[object Object]","2025","Jaquan Brisker","Bears","S","535","28","20.81","0.040","3.04","0.006","2.17","0.08","46.4%","5.9","0.2","21.4%","17.9%"
"[object Object]","2025","Bryan Cook","Chiefs","S","475","25","20.70","0.044","4.08","0.009","1.34","0.05","52.0%","7.2","0.2","28.0%","24.0%"
"[object Object]","2025","Jalen Ramsey","Steelers","CB","618","57","20.56","0.034","1.50","0.002","14.27","0.25","54.4%","6.1","0.2","26.3%","10.5%"
"[object Object]","2025","Ji'Ayir Brown","49ers","S","455","23","20.26","0.045","4.69","0.010","-6.85","-0.30","43.5%","7.2","0.2","21.7%","17.4%"
"[object Object]","2025","Andrew Wingard","Jaguars","S","566","31","20.13","0.036","1.22","0.002","9.65","0.31","48.4%","4.3","0.1","25.8%","12.9%"
"[object Object]","2025","Kyle Dugger","2 teams","S","428","27","20.05","0.047","5.51","0.013","-1.83","-0.07","51.9%","7.9","0.2","29.6%","22.2%"
