"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Devin Singletary","Giants","119","-6.55","-0.055","-10.44","-0.088","-2.97","-0.02","47.1%","-6.6","-0.2","9.2%","5.0%"
"[object Object]","2025","Brady Cook","Jets","13","-6.63","-0.510","-7.69","-0.592","-3.71","-0.29","53.8%","-7.2","-0.2","7.7%","30.8%"
"[object Object]","2025","Justin Fields","Jets","71","-7.09","-0.100","-12.03","-0.169","-0.23","-0.00","56.3%","-9.6","-0.3","12.7%","7.0%"
"[object Object]","2025","Russell Wilson","Giants","18","-7.16","-0.398","-8.79","-0.488","2.78","0.15","55.6%","-8.2","-0.3","11.1%","0.0%"
"[object Object]","2025","Christian McCaffrey","49ers","311","-7.33","-0.024","-17.10","-0.055","-1.82","-0.01","46.9%","-7.1","-0.2","4.2%","5.1%"
"[object Object]","2025","Braelon Allen","Jets","18","-7.51","-0.417","-8.14","-0.452","-7.59","-0.42","50.0%","-7.6","-0.2","11.1%","11.1%"
"[object Object]","2025","Bucky Irving","Buccaneers","173","-7.62","-0.044","-13.13","-0.076","-21.89","-0.13","42.8%","-7.6","-0.2","1.7%","6.4%"
"[object Object]","2025","Jalen Hurts","Eagles","105","-8.02","-0.076","-14.70","-0.140","10.60","0.10","51.4%","-11.4","-0.4","19.0%","9.5%"
"[object Object]","2025","Quinshon Judkins","Browns","230","-8.31","-0.036","-16.19","-0.070","-22.89","-0.10","39.1%","-8.8","-0.3","5.7%","6.5%"
"[object Object]","2025","Tua Tagovailoa","Dolphins","20","-8.75","-0.438","-10.43","-0.522","-9.02","-0.45","15.0%","-9.9","-0.3","0.0%","20.0%"
"[object Object]","2025","Woody Marks","Texans","196","-10.35","-0.053","-16.55","-0.084","-11.65","-0.06","46.4%","-10.2","-0.3","5.1%","6.1%"
"[object Object]","2025","Taysom Hill","Saints","52","-11.11","-0.214","-12.75","-0.245","-11.45","-0.22","40.4%","-11.2","-0.3","11.5%","17.3%"
"[object Object]","2025","Chuba Hubbard","Panthers","134","-15.01","-0.112","-19.62","-0.146","-5.27","-0.04","49.3%","-15.3","-0.5","3.0%","5.2%"
