"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Jarrett Stidham","Broncos","1","0.00","0.000","0.00","0.000","-0.04","-0.04","0.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2025","Kyle Allen","Lions","3","0.00","0.000","0.00","0.000","-0.24","-0.08","0.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2025","Nick Mullens","Jaguars","12","0.00","0.000","0.00","0.000","-1.10","-0.09","0.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2025","Jimmy Garoppolo","Rams","9","0.00","0.000","0.00","0.000","-1.94","-0.22","0.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2025","Joe Milton III","Cowboys","5","-0.08","-0.017","-0.57","-0.115","-1.75","-0.35","60.0%","-0.4","-0.0","20.0%","20.0%"
"[object Object]","2025","Max Brosmer","Vikings","7","-0.11","-0.016","-0.41","-0.058","-0.27","-0.04","28.6%","-0.3","-0.0","14.3%","0.0%"
"[object Object]","2025","Zach Wilson","Dolphins","3","-0.11","-0.038","-0.28","-0.093","0.05","0.02","33.3%","-0.2","-0.0","0.0%","0.0%"
"[object Object]","2025","Gardner Minshew","Chiefs","6","-0.25","-0.041","-0.42","-0.070","-1.07","-0.18","0.0%","-0.4","-0.0","0.0%","0.0%"
"[object Object]","2025","Philip Rivers","Colts","2","-0.29","-0.147","-0.33","-0.165","-1.37","-0.68","0.0%","-0.3","-0.0","0.0%","0.0%"
"[object Object]","2025","Drew Lock","Seahawks","6","-0.37","-0.062","-0.44","-0.073","-0.68","-0.11","0.0%","-0.4","-0.0","0.0%","0.0%"
"[object Object]","2025","Cooper Rush","Ravens","4","-0.43","-0.108","-0.46","-0.115","-5.74","-1.43","0.0%","-0.4","-0.0","0.0%","25.0%"
"[object Object]","2025","Marcus Mariota","Commanders","50","-0.44","-0.009","-3.68","-0.074","3.31","0.07","48.0%","-2.1","-0.1","10.0%","6.0%"
"[object Object]","2025","Tyson Bagent","Bears","2","-0.60","-0.299","-0.75","-0.374","-0.73","-0.36","50.0%","-0.7","-0.0","0.0%","0.0%"
"[object Object]","2025","Michael Penix Jr.","Falcons","21","-0.76","-0.036","-2.33","-0.111","3.68","0.18","33.3%","-1.8","-0.1","14.3%","4.8%"
"[object Object]","2025","Mac Jones","49ers","36","-1.04","-0.029","-2.48","-0.069","4.90","0.14","41.7%","-1.7","-0.1","13.9%","5.6%"
"[object Object]","2025","Jalen Milroe","Seahawks","3","-1.21","-0.405","-1.33","-0.444","-5.67","-1.89","0.0%","-1.2","-0.0","0.0%","33.3%"
"[object Object]","2025","Joe Burrow","Bengals","14","-1.37","-0.098","-2.47","-0.176","2.21","0.16","42.9%","-2.0","-0.1","21.4%","7.1%"
"[object Object]","2025","Shane Buechele","Chiefs","1","-1.48","-1.481","-1.60","-1.603","-0.53","-0.53","0.0%","-1.6","-0.0","0.0%","0.0%"
"[object Object]","2025","Bo Nix","Broncos","83","-1.97","-0.024","-7.13","-0.086","14.28","0.17","49.4%","-4.8","-0.1","19.3%","7.2%"
"[object Object]","2025","Geno Smith","Raiders","41","-2.20","-0.054","-5.23","-0.127","-0.88","-0.02","41.5%","-4.0","-0.1","12.2%","12.2%"
"[object Object]","2025","Dillon Gabriel","Browns","14","-2.75","-0.197","-4.18","-0.299","1.48","0.11","57.1%","-3.7","-0.1","7.1%","14.3%"
"[object Object]","2025","Davis Mills","Texans","13","-2.75","-0.211","-3.62","-0.278","0.28","0.02","30.8%","-3.3","-0.1","7.7%","7.7%"
"[object Object]","2025","Caleb Williams","Bears","77","-2.78","-0.036","-8.36","-0.109","11.09","0.14","55.8%","-6.0","-0.2","15.6%","7.8%"
"[object Object]","2025","Andy Dalton","Panthers","5","-3.11","-0.622","-3.27","-0.655","-5.85","-1.17","0.0%","-3.2","-0.1","0.0%","40.0%"
"[object Object]","2025","Jared Goff","Lions","19","-3.42","-0.180","-4.24","-0.223","-6.51","-0.34","47.4%","-3.9","-0.1","10.5%","15.8%"
"[object Object]","2025","Kirk Cousins","Falcons","14","-3.68","-0.263","-4.14","-0.296","-1.92","-0.14","28.6%","-3.9","-0.1","0.0%","7.1%"
"[object Object]","2025","Aaron Rodgers","Steelers","21","-4.33","-0.206","-5.90","-0.281","-0.12","-0.01","38.1%","-5.4","-0.2","9.5%","4.8%"
"[object Object]","2025","Quinn Ewers","Dolphins","8","-4.43","-0.554","-4.95","-0.619","-3.92","-0.49","25.0%","-4.7","-0.1","0.0%","12.5%"
"[object Object]","2025","Sam Darnold","Seahawks","35","-4.44","-0.127","-6.42","-0.183","-4.50","-0.13","45.7%","-5.6","-0.2","5.7%","8.6%"
"[object Object]","2025","Chris Oladokun","Chiefs","5","-5.06","-1.012","-5.80","-1.161","-4.88","-0.98","40.0%","-5.6","-0.2","0.0%","20.0%"
"[object Object]","2025","Brady Cook","Jets","13","-6.63","-0.510","-7.69","-0.592","-3.71","-0.29","53.8%","-7.2","-0.2","7.7%","30.8%"
"[object Object]","2025","Justin Fields","Jets","71","-7.09","-0.100","-12.03","-0.169","-0.23","-0.00","56.3%","-9.6","-0.3","12.7%","7.0%"
"[object Object]","2025","Russell Wilson","Giants","18","-7.16","-0.398","-8.79","-0.488","2.78","0.15","55.6%","-8.2","-0.3","11.1%","0.0%"
"[object Object]","2025","Matthew Stafford","Rams","29","-7.81","-0.269","-8.75","-0.302","-17.43","-0.60","3.4%","-8.3","-0.3","0.0%","13.8%"
"[object Object]","2025","Jalen Hurts","Eagles","105","-8.02","-0.076","-14.70","-0.140","10.60","0.10","51.4%","-11.4","-0.4","19.0%","9.5%"
"[object Object]","2025","Tua Tagovailoa","Dolphins","20","-8.75","-0.438","-10.43","-0.522","-9.02","-0.45","15.0%","-9.9","-0.3","0.0%","20.0%"
